MC-Iteration,Team,PointsScored,PointsConceded,Promotion,Relegation
0,Rochade Rum,7,25.5,40.5,true,false
0,Dornbirn,6,32.0,34.0,false,false
0,Goetzis 2,6,31.0,35.0,false,false
0,Hohenems II,18,37.0,29.0,false,false
0,Kufstein/Woergl,12,32.0,34.0,false,false
0,Schwarzach,18,44.5,21.5,false,false
0,Zillertal,18,43.0,23.0,false,false
0,SIR Bernhard 2,16,41.5,24.5,false,false
0,ASK Salzburg,5,28.0,38.0,false,false
0,Pradl,0,16.0,50.0,false,false
0,Bregenz,12,32.5,33.5,false,false
0,SPG Voels/HAK/HAS Innsbruck,14,33.0,33.0,false,true
